GSE14256	Ahmed Essaghir 1, Nicolas Dif, Catherine Y Marbehant, Paul J Coffer, Jean-Baptiste Demoulin
GSE40017	Doreen Heckmann 1, Patrick Maier, Stephanie Laufs, Li Li, Jonathan P Sleeman, Marcus J Trunk, Jörg H Leupold, Frederik Wenz, W Jens Zeller, Stefan Fruehauf, Heike Allgayer
GSE17782	Gruber HE, Deepe R, Hoelscher GL, Ingram JA, Norton HJ, Scannell B, Loeffler B, Zinchenko N, Hanley EN Jr, Tapp H
GSE20854	Lina Albitar 1, Gavin Pickett, Marilee Morgan, Jason A Wilken, Nita J Maihle, Kimberly K Leslie
GSE19098	Colette J Shen 1, Srivatsan Raghavan, Zhe Xu, Jan D Baranski, Xiang Yu, Michele A Wozniak, Jordan S Miller, Mudit Gupta, Leonard Buckbinder, Christopher S Chen
GSE26834	Angelo J Casa 1, Adam S Potter, Simeen Malik, ZaWaunyka Lazard, Isere Kuiatse, Hee-Tae Kim, Anna Tsimelzon, Chad J Creighton, Susan G Hilsenbeck, Powell H Brown, Steffi Oesterreich, Adrian V Lee
GSE7561	Chad J Creighton 1, Angelo Casa, ZaWaunyka Lazard, Shixia Huang, Anna Tsimelzon, Susan G Hilsenbeck, Charles Kent Osborne, Adrian V Lee
GSE2059	Zeng R, Spolski R, Finkelstein SE, Oh S, Kovanen PE, Hinrichs CS, Pise-Masison CA, Radonovich MF, Brady JN, Restifo NP, Berzofsky JA, Leonard WJ
GSE43700	Rosane M B Teles 1, Thomas G Graeber, Stephan R Krutzik, Dennis Montoya, Mirjam Schenk, Delphine J Lee, Evangelia Komisopoulou, Kindra Kelly-Scumpia, Rene Chun, Shankar S Iyer, Euzenir N Sarno, Thomas H Rea, Martin Hewison, John S Adams, Stephen J Popper, David A Relman, Steffen Stenger, Barry R Bloom, Genhong Cheng, Robert L Modlin
GSE26656	Heide Niederleithner 1, Magdalena Heinz, Stefanie Tauber, Martin Bilban, Hubert Pehamberger, Stefan Sonderegger, Martin Knöfler, Andreas Bracher, Walter Berger, Robert Loewe, Peter Petzelbauer
GSE29316	Weiwei Chen 1, Tracy Tang, Jeff Eastham-Anderson, Debra Dunlap, Bruno Alicke, Michelle Nannini, Stephen Gould, Robert Yauch, Zora Modrusan, Kelly J DuPree, Walter C Darbonne, Greg Plowman, Frederic J de Sauvage, Christopher A Callahan
GSE42565	Kevin A Peterson 1, Yuichi Nishi, Wenxiu Ma, Anastasia Vedenko, Leila Shokri, Xiaoxiao Zhang, Matthew McFarlane, José-Manuel Baizabal, Jan Philipp Junker, Alexander van Oudenaarden, Tarjei Mikkelsen, Bradley E Bernstein, Timothy L Bailey, Martha L Bulyk, Wing H Wong, Andrew P McMahon
GSE4936	Steven A Vokes 1, Hongkai Ji, Scott McCuine, Toyoaki Tenzen, Shane Giles, Sheng Zhong, William J R Longabaugh, Eric H Davidson, Wing H Wong, Andrew P McMahon
GSE9169	Yuichiro Nishida 1, Naoki Adati, Ritsuko Ozawa, Aasami Maeda, Yoshiyuki Sakaki, Tadayuki Takeda
